"DATA","VALOR","DESPESAS"
2018-07-31 00:00:00.000,"528570.0000",-1
2018-07-31 00:00:00.000,"539987.1100",-1
2018-08-21 00:00:00.000,"958290.0000",-1
2018-08-21 00:00:00.000,"978989.0600",-1
2018-08-21 00:00:00.000,"12.2300",-1
2018-08-21 00:00:00.000,"100.0000",-1
2018-08-21 00:00:00.000,"19810.5000",-1
2018-08-21 00:00:00.000,"3669000.0000",-1
2018-08-21 00:00:00.000,"3669000.0000",-1
2018-08-21 00:00:00.000,"19579800.0000",-1
2018-08-21 00:00:00.000,"978989.0600",-1
2018-08-21 00:00:00.000,"5000.0000",-1
2018-08-21 00:00:00.000,"5000.0000",-1
2018-08-21 00:00:00.000,"500.0000",-1
2018-10-11 00:00:00.000,"41.1600",-1
2018-10-29 00:00:00.000,"1032.6000",-1
2018-10-29 00:00:00.000,"1032.6000",-1
2018-10-29 00:00:00.000,"1032.6000",-1
2018-10-29 00:00:00.000,"1032.6000",-1
2018-12-17 00:00:00.000,"1902.6000",-1
2018-12-17 00:00:00.000,"163.5000",-1
2018-12-17 00:00:00.000,"432.3000",-1
2018-12-17 00:00:00.000,"687.0000",-1
2018-12-18 00:00:00.000,"50.0000",-1
2018-12-18 00:00:00.000,"50.0000",-1
2018-12-18 00:00:00.000,"1032.6000",-1
2018-12-18 00:00:00.000,"1032.6000",-1
2019-02-19 00:00:00.000,"1032.6000",-1
2019-02-19 00:00:00.000,"1032.6000",-1
2019-02-19 00:00:00.000,"1032.6000",-1
2019-02-19 00:00:00.000,"1032.6000",-1
2019-06-06 00:00:00.000,"2399.0400",-1
2019-08-26 00:00:00.000,"5901.0000",-1
2019-08-27 00:00:00.000,"44418.3800",-1
2019-08-27 00:00:00.000,"39.2000",-1
2019-08-27 00:00:00.000,"39.2000",-1
2019-08-27 00:00:00.000,"39.2000",-1
2019-12-23 00:00:00.000,"300.0000",-1
2020-04-20 00:00:00.000,"280.0500",-1
2020-04-20 00:00:00.000,"280.0500",-1
2020-04-20 00:00:00.000,"28923.0000",-1
2020-04-28 00:00:00.000,"16299.0000",-1
2020-04-28 00:00:00.000,"42501.0000",-1
2020-04-28 00:00:00.000,"44031.0400",-1
2020-04-28 00:00:00.000,"100.0000",-1
2020-04-28 00:00:00.000,"57846.0000",-1
2020-04-28 00:00:00.000,"43384.5000",-1
2020-04-28 00:00:00.000,"44946.3400",-1
2020-04-28 00:00:00.000,"59928.4600",-1
2020-04-29 00:00:00.000,"51399.6000",-1
2020-04-29 00:00:00.000,"53172.0000",-1
2020-04-29 00:00:00.000,"53172.0000",-1
2020-04-29 00:00:00.000,"1772.4000",-1
2020-04-29 00:00:00.000,"55086.1900",-1
2020-04-29 00:00:00.000,"100.0000",-1
2020-04-29 00:00:00.000,"55086.1900",-1
2020-04-29 00:00:00.000,"100.0000",-1
2020-04-29 00:00:00.000,"53249.9800",-1
2020-04-29 00:00:00.000,"100.0000",-1
2020-04-29 00:00:00.000,"55167.0000",-1
2020-04-29 00:00:00.000,"55167.0000",-1
2020-04-29 00:00:00.000,"100.0000",-1
2020-04-29 00:00:00.000,"100.0000",-1
2020-04-29 00:00:00.000,"100.0000",-1
2020-04-29 00:00:00.000,"200.0000",-1
2020-04-29 00:00:00.000,"100.0000",-1
2020-04-29 00:00:00.000,"10.0000",-1
2020-04-30 00:00:00.000,"15595.8400",-1
2020-04-30 00:00:00.000,"15648.0000",-1
2020-04-30 00:00:00.000,"52.1600",-1
2020-04-30 00:00:00.000,"16211.3300",-1
2020-04-30 00:00:00.000,"57.0900",-1
2020-04-30 00:00:00.000,"32.9200",-1
2020-04-30 00:00:00.000,"48.9200",-1
2020-04-30 00:00:00.000,"16157.2900",-1
2020-04-30 00:00:00.000,"100.0000",-1
2020-04-30 00:00:00.000,"244.4100",-1
2020-04-30 00:00:00.000,"6.0000",-1
2020-04-30 00:00:00.000,"16254.0000",-1
2020-04-30 00:00:00.000,"123.9000",-1
2020-04-30 00:00:00.000,"43906.7200",-1
2020-04-30 00:00:00.000,"80724.0800",-1
2020-04-30 00:00:00.000,"100.0000",-1
2020-06-29 00:00:00.000,"50.0000",-1
2020-06-29 00:00:00.000,"50.0000",-1
2020-06-29 00:00:00.000,"50.0000",-1
2020-06-29 00:00:00.000,"50.0000",-1
2020-06-29 00:00:00.000,"50.0000",-1
2020-06-30 00:00:00.000,"2.3800",-1
2020-08-24 00:00:00.000,"400.0000",-1
2020-08-24 00:00:00.000,"100.0000",-1
2020-08-25 00:00:00.000,"1000.0000",-1
2020-08-26 00:00:00.000,"58110.0000",-1
2020-08-26 00:00:00.000,"6429.5500",-1
2020-08-26 00:00:00.000,"63967.3900",-1
2020-08-26 00:00:00.000,"49549.7200",-1
2020-08-26 00:00:00.000,"58110.0000",-1
2020-08-26 00:00:00.000,"58110.0000",-1
2020-08-26 00:00:00.000,"5234.5600",-1
2020-08-28 00:00:00.000,"58110.0000",-1
2020-08-28 00:00:00.000,"3849.9000",-1
2020-08-28 00:00:00.000,"2033.9000",-1
2020-08-28 00:00:00.000,"49462.3000",-1
2020-08-28 00:00:00.000,"58110.0000",-1
2020-08-28 00:00:00.000,"58110.0000",-1
2020-08-28 00:00:00.000,"58110.0000",-1
2020-08-28 00:00:00.000,"4563.2200",-1
2020-10-27 00:00:00.000,"58110.0000",-1
2020-10-27 00:00:00.000,"27987.5000",-1
2020-10-27 00:00:00.000,"13993.7500",-1
2020-10-27 00:00:00.000,"13993.7500",-1
2020-10-27 00:00:00.000,"58110.0000",-1
2020-10-27 00:00:00.000,"55975.0000",-1
2020-10-27 00:00:00.000,"5800.0000",-1
2020-10-27 00:00:00.000,"55975.0000",-1
2020-10-27 00:00:00.000,"10000.0000",-1
2021-02-24 00:00:00.000,"10.0000",-1
2021-02-24 00:00:00.000,"4990.0000",-1
2021-02-25 00:00:00.000,"5000.0000",-1
2021-02-26 00:00:00.000,"1000.0000",-1
2021-03-01 00:00:00.000,"25000.0000",-1
2021-03-11 00:00:00.000,"35.8800",-1
2021-03-15 00:00:00.000,"6.0000",-1
2021-04-27 00:00:00.000,"251.9500",-1
2021-04-29 00:00:00.000,"109.8000",-1
2021-04-29 00:00:00.000,"1790.7000",-1
2021-06-02 00:00:00.000,"99.3000",-1
2021-06-24 00:00:00.000,"0.9600",-1
2021-07-07 00:00:00.000,"451.2600",-1
2021-08-02 00:00:00.000,"130.0000",-1
2021-08-04 00:00:00.000,"473.8600",-1
2021-08-04 00:00:00.000,"2035.3000",-1
